filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",001,001.wav,-0.0017,-0.0007,1.9126,4.4449,0.8586001062400672,0.9975442043222004,0.7172389043894125,0.9950884086444008,0.999961308090722,1.0,"Excited (Positive, High arousal)"
002.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",002,002.wav,-0.0274,-0.0118,1.9047,4.4394,0.0972973846569636,0.9410913723189372,-0.8053643029764207,0.8860510805500982,0.999959072290348,0.9961316640877764,Neutral
003.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",003,003.wav,-0.0111,-0.0048,1.4504,4.1206,0.581096614375709,0.8633611037338595,0.1632279600251394,0.9548133595284872,0.9989652687262788,0.7719088479392319,"Excited (Positive, High arousal)"
004.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",004,004.wav,-0.0276,-0.0118,1.3486,3.9922,0.0935300660139869,0.7838259341419784,-0.8108069193990923,0.8860510805500982,0.9978670514270662,0.6816007877338587,Neutral
005.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",005,005.wav,-0.0077,-0.0033,0.589,3.5977,0.5117941464403879,0.6868418681761768,0.4064575621197558,0.9695481335952848,0.61713073076102,0.4041356027570687,Positive (Low/Mid arousal)
006.txt,1,"hybrid cloud, digital transformation, cloud access, standalone automation, open stack, modern infrastructure, open source, broader solutions, big top, actual number",006,006.wav,-0.0159,-0.0068,0.9394,3.7375,0.3764564657542625,0.7188143312069346,-0.2086492769849133,0.9351669941060904,0.9615622084934384,0.5024616683077789,Positive (Low/Mid arousal)
007.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",007,007.wav,-0.0067,-0.0029,0.0957,3.4886,-0.1527840549418887,0.6504396458071772,0.4697811927561989,0.9734774066797643,-0.7753493026399764,0.32740188493459,Neutral
008.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",008,008.wav,-0.0212,-0.0091,0.2516,3.3603,-0.500978638530769,0.5748689159898864,-0.5562822874489322,0.912573673870334,-0.4456749896126057,0.2371641581094389,Negative (Low/Med arousal)
009.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",009,009.wav,-0.0118,-0.005,0.6729,3.6454,0.4393428676036491,0.6952666740546656,0.1093616779862774,0.9528487229862476,0.7693240572210208,0.4376846251230835,Positive (Low/Mid arousal)
010.txt,0,"total revenue, high end, total backlog, average billings, quarterly cash, cancellable subscriptions, effective tax, total change, intangible assets, largest driver",010,010.wav,-0.0061,-0.0026,0.1927,3.3079,-0.0457601392520534,0.5883669141830509,0.5056343079064559,0.9764243614931236,-0.5971545864105627,0.200309466872978,Neutral
