filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",001,001.wav,-0.0059,-0.0025,1.9118,4.4443,0.8675514820955477,0.9935794542536116,0.7379094616337082,0.9871589085072232,0.9971935025573871,1.0,"Excited (Positive, High arousal)"
002.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",002,002.wav,-0.0902,-0.0387,1.1937,3.9075,0.2717678787626237,0.8051102368485399,-0.3730815443890415,0.7934724451578383,0.9166173019142888,0.8167480285392413,Neutral
003.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",003,003.wav,-0.1371,-0.0587,0.8658,3.7202,-0.0791672724097357,0.719635593717372,-0.8131707179961455,0.6864633493846977,0.654836173176674,0.7528078380500461,Neutral
004.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",004,004.wav,-0.0796,-0.0341,0.5711,3.5546,-0.0704623879902565,0.7571800489499123,-0.2201104964132688,0.8180845371856608,0.0791857204327557,0.6962755607141637,Neutral
005.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",005,005.wav,-0.0977,-0.0419,0.2125,3.3651,-0.5610769798698386,0.7039676636945915,-0.4707441762318061,0.7763509898341359,-0.651409783507871,0.6315843375550472,Negative (Low/Med arousal)
006.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",006,006.wav,-0.19,-0.0814,0.9551,3.7476,-0.1009422628254605,0.6635848171288052,-0.9622818669755197,0.565008025682183,0.7603973413245986,0.7621616085754274,Neutral
007.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",007,007.wav,-0.0471,-0.0202,1.0686,3.8417,0.56868050869336,0.8433705914434331,0.2839881995163857,0.8924558587479936,0.8533728178703343,0.7942853241388725,"Excited (Positive, High arousal)"
008.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",008,008.wav,-0.053,-0.0227,0.243,3.4547,-0.205808326091666,0.7706257858531842,0.1958175831143122,0.879079721776351,-0.6074342352976443,0.6621718499300173,Neutral
009.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",009,009.wav,-0.033,-0.0142,0.9927,3.813,0.6351157852697163,0.8545231745306003,0.4744419093039334,0.9245585874799358,0.7957896612354993,0.784487761581265,"Excited (Positive, High arousal)"
010.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",010,010.wav,-0.1367,-0.0586,0.3578,3.4646,-0.6083573600214728,0.6762749459041129,-0.8110091319247407,0.6869983948635634,-0.4057055881182049,0.6655514969446624,Negative (Low/Med arousal)
011.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",011,011.wav,-0.1876,-0.0804,0.6276,3.5888,-0.3740945542657128,0.6391545927087072,-0.959356981459798,0.57035848047084,0.2111678729283723,0.7079507049465743,Negative (Low/Med arousal)
012.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",012,012.wav,-0.2027,-0.0869,0.7063,3.6427,-0.2962771541810652,0.6309657648521056,-0.9746365318907382,0.5355805243445693,0.3820822235286077,0.7263510053596421,Neutral
013.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",013,013.wav,-0.1667,-0.0715,0.0825,3.2712,-0.8594469183774598,0.6087532128893776,-0.9225788750384144,0.6179775280898876,-0.7963149617165052,0.5995288976888675,Negative (Low/Med arousal)
014.txt,-1,Outlier,014,014.wav,-0.0595,-0.0255,0.8204,3.7179,0.3416652950149738,0.8080605579498017,0.0949354629405414,0.8640984483681112,0.5883951270894061,0.7520226675314923,Neutral
015.txt,-1,Outlier,015,015.wav,-0.0699,-0.03,0.3089,3.4455,-0.2841188636352896,0.7495262848374782,-0.0697163519546602,0.8400214018191546,-0.498521375315919,0.6590311678558016,Neutral
016.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",016,016.wav,-0.0293,-0.0126,0.6026,3.6638,0.3360406856299456,0.8333367032814729,0.5186618573609045,0.933119315141787,0.1534195138989867,0.7335540914211587,Neutral
017.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",017,017.wav,-0.1077,-0.0461,-0.5457,3.2776,-0.7868037181460574,0.6777963998615708,-0.5848020177590773,0.7538790797217763,-0.9888054185330376,0.6017137200013655,Negative (Low/Med arousal)
018.txt,-1,Outlier,018,018.wav,-0.3388,-0.1452,0.3711,3.4317,-0.6892349603802678,0.4389845774551711,-0.999658365237279,0.2236490101658641,-0.3788115555232565,0.6543201447444782,Negative (Low/Med arousal)
019.txt,-1,Outlier,019,019.wav,-0.073,-0.0313,0.1724,3.3058,-0.4108305323232917,0.7222032019548548,-0.1184688352751807,0.8330658105939005,-0.7031922293714026,0.6113405933158091,Negative (Low/Med arousal)
020.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",020,020.wav,-0.0315,-0.0135,0.7058,3.6399,0.4368703431435475,0.82684952571496,0.4926795238125197,0.9283039058319956,0.3810611624745753,0.7253951455979244,"Excited (Positive, High arousal)"
021.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",021,021.wav,-0.0593,-0.0254,0.492,3.5066,-0.0055941711523848,0.7722614436087034,0.0980799718890422,0.864633493846977,-0.1092683141938119,0.6798893933704298,Neutral
022.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",022,022.wav,-0.0107,-0.0046,1.3519,4.0112,0.8305959567076269,0.9140359655112382,0.7012198062918604,0.9759229534510432,0.9599721071233932,0.8521489775714333,"Excited (Positive, High arousal)"
023.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",023,023.wav,-0.0213,-0.0091,0.3215,3.3992,0.0648739209533267,0.7975356254204558,0.6053002624403243,0.9518459069020866,-0.4755524205336708,0.6432253439388249,Neutral
024.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",024,024.wav,-0.4315,-0.1849,0.2147,3.3208,-0.8241771957661145,0.3138486128334529,-0.9999819790081158,0.0112359550561797,-0.6483724125241132,0.6164612706107261,Negative (Low/Med arousal)
025.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",025,025.wav,-0.0338,-0.0145,0.5379,3.535,0.2322721998810542,0.8062689967127389,0.4645443997621084,0.9229534510433386,0.0,0.6895845423821392,Neutral
026.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",026,026.wav,-0.4364,-0.187,0.6733,3.625,-0.343603278630516,0.3601543030758201,-0.9999845747009326,0.0,0.3127780174399007,0.7203086061516403,Neutral
027.txt,1,"notable items, interest income, interest expense, strong growth, higher compensation, net income, average loans, total loan, retail leases, strong dealer",027,027.wav,-0.2985,-0.1279,0.2376,3.3475,-0.8071438351814089,0.4708939771026544,-0.9987728481719844,0.3162118780096307,-0.6155148221908331,0.6255760761956781,Negative (Low/Med arousal)
028.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",028,028.wav,-0.0377,-0.0161,0.4384,3.4464,0.0906016183454287,0.786865565937492,0.4146355693540708,0.9143927233814874,-0.2334323326632133,0.6593384084934967,Neutral
029.txt,0,"joint ventures, wholesale side, positive operating, flatter yield, current levels, higher cash, net interest, next rate, normal growth, regulatory expectations",029,029.wav,-0.1304,-0.0559,0.0881,3.249,-0.7826342225194169,0.646697459042664,-0.7739031522765434,0.7014446227929373,-0.7913652927622906,0.5919502952923906,Negative (Low/Med arousal)
