filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,-1,Outlier,001,001.wav,-0.0015,-0.0006,1.9103,4.4434,0.878846632182441,0.9990450228739528,0.7593607925058151,0.9983642311886588,0.9983324718590668,0.9997258145592468,"Excited (Positive, High arousal)"
002.txt,-1,Outlier,002,002.wav,-0.0169,-0.0072,1.9112,4.443,0.7183099195512621,0.9809601708022804,0.4382798026169936,0.9623773173391492,0.9983400364855306,0.9995430242654112,"Excited (Positive, High arousal)"
003.txt,1,"new products, competitive environment, connected world, next generation, new businesses, operational performance, organizational agility, strong networks, wireless data, new ecosystems",003,003.wav,-0.0457,-0.0196,0.1778,3.3711,-0.5770702580542457,0.7022381370818567,-0.4707067405498468,0.8947655398037077,-0.6834337755586447,0.5097107343600056,Negative (Low/Med arousal)
004.txt,1,"new products, competitive environment, connected world, next generation, new businesses, operational performance, organizational agility, strong networks, wireless data, new ecosystems",004,004.wav,-0.4054,-0.1737,0.2376,3.3025,-0.7971701209393607,0.266443913005973,-0.9999999999836257,0.054525627044711,-0.5943402418950957,0.4783621989672349,Negative (Low/Med arousal)
005.txt,1,"new products, competitive environment, connected world, next generation, new businesses, operational performance, organizational agility, strong networks, wireless data, new ecosystems",005,005.wav,-0.0166,-0.0071,1.3737,4.0818,0.7108252415958416,0.8987029812708223,0.4464991922116152,0.9629225736095964,0.975151290980068,0.8344833889320479,"Excited (Positive, High arousal)"
006.txt,1,"new products, competitive environment, connected world, next generation, new businesses, operational performance, organizational agility, strong networks, wireless data, new ecosystems",006,006.wav,-0.0225,-0.0096,-0.4895,3.2008,-0.3574554084039547,0.6905894668040019,0.2722890860661322,0.9492911668484189,-0.9871999028740416,0.4318877667595851,Negative (Low/Med arousal)
007.txt,7,"small cells, wireless pilots, new technologies, technological developments, significant opportunity, significant opportunities, broader question, current spectrum, band spectrum, wireless network",007,007.wav,-0.0118,-0.005,0.5614,3.5673,0.350471692164435,0.7868711643876268,0.567503129057266,0.9743729552889858,0.133440255271604,0.5993693734862678,"Excited (Positive, High arousal)"
008.txt,4,"small cells, strategic agreement, smart cities, small business, single use, optical fiber, adequate supply, , , ",008,008.wav,-0.0481,-0.0206,1.124,3.8741,0.1914991420451377,0.8144412529786271,-0.5318592978389084,0.8893129770992366,0.914857581929184,0.7395695288580176,Neutral
009.txt,2,"unlimited offering, high quality, unlimited world, unlimited offer, single line, wireless plans, retail phone, important thing, important point, entire business",009,009.wav,-0.0334,-0.0143,0.2986,3.4296,-0.2886018975019711,0.7300539684854185,-0.0917175276006749,0.9236641221374046,-0.4854862674032673,0.5364438148334324,Neutral
010.txt,-1,Outlier,010,010.wav,-0.0326,-0.014,-0.4397,3.4604,-0.5240992742895848,0.7379092792037518,-0.0646336320207539,0.9252998909487458,-0.9835649165584156,0.5505186674587579,Negative (Low/Med arousal)
