filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
005.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",005,005.wav,-0.0476,-0.0204,1.7898,4.3437,0.0130160844951279,0.8217041598800041,-0.9698401957545748,0.6883720930232557,0.9958723647448308,0.9550362267367524,Neutral
006.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",006,006.wav,-0.0383,-0.0164,1.1338,3.9237,-0.0015519249716249,0.7035429957787784,-0.9004554826129233,0.7503875968992247,0.8973516326696733,0.6566983946583322,Neutral
007.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",007,007.wav,-0.0034,-0.0014,0.7509,3.6313,0.5744292293545049,0.7159720868560654,0.6821875568475194,0.9829457364341084,0.4666709018614904,0.4489984372780224,Positive (Low/Mid arousal)
009.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",009,009.wav,-0.0422,-0.0181,0.3336,3.4096,-0.7132933943845756,0.5077748446914256,-0.9393524965546436,0.7240310077519378,-0.4872342922145077,0.2915186816309135,Negative (Low/Med arousal)
013.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",013,013.wav,-0.0774,-0.0332,0.2617,3.4872,-0.8054523678349411,0.4182813141842073,-0.9994053216783828,0.489922480620155,-0.6114994139914993,0.3466401477482597,Negative (Low/Med arousal)
017.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",017,017.wav,-0.0209,-0.009,0.2955,3.383,-0.4346358950512368,0.5688701156678571,-0.3131373544520424,0.8651162790697674,-0.5561344356504311,0.2726239522659468,Negative (Low/Med arousal)
020.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",020,020.wav,-0.0085,-0.0036,1.2166,3.9966,0.6948702109257534,0.828659263835706,0.4589253690276612,0.9488372093023256,0.9308150528238456,0.7084813183690865,"Excited (Positive, High arousal)"
021.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",021,021.wav,-0.0085,-0.0037,0.2913,3.3992,-0.0521923653923987,0.6157090451757703,0.4589253690276612,0.9472868217054262,-0.5633100998124587,0.2841312686461144,Neutral
022.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",022,022.wav,-0.0059,-0.0025,0.4387,3.6813,0.1595411805389746,0.7252031593635018,0.5835823708497555,0.965891472868217,-0.2645000097718061,0.4845148458587865,Neutral
023.txt,0,"corrugated packaging, long term, substantial progress, adjusted earnings, free cash, square feet, specific end, joint venture, overall integrations, older box",023,023.wav,-0.0141,-0.006,0.6536,3.7825,0.1913802085004964,0.734013981901499,0.1249834835785558,0.911627906976744,0.257776933422437,0.5564000568262538,Neutral
