filename_x,topic_id,topic_keywords,file_id,filename_y,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm,emotion_label
001.txt,-1,Outlier,001,001.wav,-0.0015,-0.0006,1.9142,4.4453,0.8468863472959348,0.9991971095945404,0.69384502793199,0.9983942191890808,0.9999276666598796,1.0,"Excited (Positive, High arousal)"
002.txt,-1,Outlier,002,002.wav,-0.032,-0.0137,0.7311,3.6483,0.4523707902805786,0.6655127542770141,0.1095301338592363,0.9458048976314734,0.7952114467019208,0.3852206109225549,Positive (Low/Mid arousal)
003.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup",003,003.wav,-0.1226,-0.0526,0.3788,3.1861,-0.5421297201195926,0.409168780519466,-0.9706907383469456,0.7896427137695704,-0.1135687018922394,0.0286948472693615,Negative (Low/Med arousal)
004.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings",004,004.wav,-0.0357,-0.0153,0.3735,3.2789,-0.0558975345307326,0.5198297332290724,0.0195479663163026,0.939381774387796,-0.1313430353777678,0.1002776920703489,Neutral
005.txt,3,"strong margins, negative impact, top line, senior note, significant amount, prepared remarks, operational strides, operational progress, moderate impact, good setup",005,005.wav,-0.1253,-0.0537,0.4489,3.4743,-0.4251465016918337,0.518114796730123,-0.9742675881620928,0.7852268165395424,0.1239745847784252,0.2510027769207036,Negative (Low/Med arousal)
006.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings",006,006.wav,-0.035,-0.015,-0.2326,3.166,-0.4694490760544414,0.4768882416687734,0.0366406960648046,0.9405861099959856,-0.9755388481736874,0.0131903733415613,Negative (Low/Med arousal)
007.txt,0,"lower end, high end, higher declines, negative margin, single digits, total revenues, total revenue, lower equipment, new product, weaker signings",007,007.wav,-0.028,-0.012,0.6906,3.6219,0.4717305195943056,0.6587429959207669,0.2047865896649937,0.9526294660778803,0.7386744495236175,0.3648565257636535,Positive (Low/Mid arousal)
008.txt,1,"wide program, taxable service, strategic cost, smaller size, significant part, rigorous process, greater dispatch, greater machine, greater customer, functional spend",008,008.wav,-0.0502,-0.0215,0.5409,3.5423,0.0445190626210499,0.6089739476803318,-0.3228285821933828,0.9144921718185468,0.4118667074354827,0.3034557235421168,Neutral
009.txt,-1,Outlier,009,009.wav,-0.0479,-0.0205,0.2528,3.3495,-0.3834541176476009,0.536621408189507,-0.271603305499268,0.9185066238458452,-0.4953049297959338,0.1547361925331689,Negative (Low/Med arousal)
010.txt,-1,Outlier,010,010.wav,-0.0202,-0.0086,-0.4824,3.1489,-0.3084813584722808,0.4831393014853473,0.378528184153972,0.9662786029706946,-0.9954909010985338,0.0,Neutral
