filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0016,-0.0007,1.9145,4.4458,0.8749774245190665,0.9986623863028357,0.7508997397999881,0.9973247726056714,0.9990551092381448,1.0
002.wav,-0.0153,-0.0066,0.525,3.5603,0.4137997582248081,0.6814214737972888,0.6313829830221579,0.9657570893525951,0.19621653342745826,0.3970858582419825
003.wav,-0.0516,-0.0221,1.1945,3.9427,0.5451229199382941,0.7701386043564366,0.13010449451349165,0.8828250401284109,0.9601413453630966,0.6574521685844622
004.wav,-0.0378,-0.0162,0.6569,3.6236,0.4220559250823858,0.6772889605877275,0.34858901089854305,0.9143927233814875,0.4955228392662286,0.4401851977939675
005.wav,-0.0112,-0.0048,1.2535,4.0119,0.8208823828348119,0.8399782870697682,0.6712058499525466,0.9753879079721777,0.9705589157170771,0.7045686661673587
006.wav,-0.1066,-0.0457,0.238,3.3756,-0.5819939469709845,0.5139413463816379,-0.6627710632959339,0.7565543071161049,-0.5012168306460351,0.2713283856471708
007.wav,-0.05,-0.0214,0.6258,3.6518,0.29418275127317856,0.6729781049568555,0.1565612121289142,0.8865703584804708,0.43180429041744295,0.4593858514332403
008.wav,-0.2999,-0.1285,0.6376,3.5645,-0.2714310272592446,0.3567410903379499,-0.9994066584661744,0.3135366506153022,0.4565446039476852,0.3999455300605976
009.wav,-0.0772,-0.0331,1.0753,3.8934,0.31719694363652035,0.7239275529405225,-0.29256421389155907,0.8239700374531835,0.9269581011645998,0.6238850684278614
010.wav,-0.0539,-0.0231,0.3044,3.3917,-0.13437831396599884,0.579882523145808,0.09175557598606433,0.8774745853397539,-0.360512203918062,0.2822904609518622
011.wav,-0.1211,-0.0519,0.411,3.4383,-0.4387877844090353,0.5187003440400352,-0.7788923703161353,0.7233814874264313,-0.09868319850193524,0.31401920065363914
012.wav,-0.0525,-0.0225,0.2237,3.368,-0.20676158843373776,0.5734192998084553,0.11513823212187335,0.8806848582129482,-0.5286614089893489,0.26615374140396253
013.wav,-0.0802,-0.0344,1.4208,4.0772,0.32472255972163644,0.783022100216164,-0.3381642876180825,0.8170144462279295,0.9876094070613554,0.7490297542043985
014.wav,-0.0778,-0.0333,0.9349,3.7937,0.2759405476108153,0.6894509264716655,-0.30179948407095275,0.8228999464954522,0.8536805792925835,0.5560019064478788
015.wav,-0.0515,-0.0221,0.0906,3.1938,-0.3008029622570594,0.5151852442420497,0.13176388696567837,0.8828250401284109,-0.7333698114797971,0.1475454483556886
016.wav,-0.0873,-0.0374,0.5267,3.514,-0.11962133713929408,0.5832622313374609,-0.4397253608037938,0.8009630818619583,0.20048268652520565,0.36556138081296363
017.wav,-0.0889,-0.0381,0.9276,3.7821,0.19358443098375203,0.6726607643722297,-0.4612545207439736,0.7972177635098984,0.8484233827114777,0.548103765234561
