filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0592,-0.0254,1.9143,4.4453,0.8621891789773202,0.9497916666666666,0.7265801321967184,0.8995833333333333,0.9977982257579221,1.0
002.wav,-0.54,-0.2314,1.5634,4.2121,0.00408143825663726,0.4307044324053369,-0.9808035856095881,0.04124999999999997,0.9889664621228627,0.8201588648106738
003.wav,-0.2511,-0.1076,1.3238,4.067,0.3058517774527987,0.63267138055577,-0.355399198080152,0.5570833333333333,0.9671027529857494,0.7082594277782066
004.wav,-0.142,-0.0608,1.7928,4.3494,0.6722323520631573,0.8390631828230639,0.34831449636156786,0.7520833333333333,0.9961502077647468,0.9260430323127944
005.wav,-0.2846,-0.122,0.4301,3.4386,-0.2738513830368598,0.3603639848590011,-0.5351531530617291,0.4970833333333333,-0.012549613011990505,0.2236446363846689
006.wav,-0.2588,-0.1109,0.1873,3.3465,-0.4582274780741208,0.3479757589779182,-0.3998698072088431,0.5433333333333333,-0.5165851489393984,0.15261818462250312
007.wav,-0.0923,-0.0395,-0.1005,3.2776,-0.12024871042286489,0.47015831855222234,0.6033583731725178,0.8408333333333333,-0.8438557940182476,0.09948330377111132
008.wav,-0.1419,-0.0608,0.1523,3.3152,-0.1121444233894997,0.44028166049715944,0.34890642480370215,0.7520833333333333,-0.5731952715827016,0.1284799876609855
009.wav,-0.2916,-0.125,1.7284,4.2993,0.21343231791795297,0.6859949133698362,-0.5679597619666089,0.4845833333333333,0.9948243978025149,0.8874064934063391
010.wav,-0.0556,-0.0238,1.6931,4.2908,0.8658722879332652,0.8935506959975323,0.7378310976776582,0.9062499999999999,0.9939134781888723,0.8808513919950647
011.wav,-0.0732,-0.0314,0.1919,3.3224,0.08507233881297549,0.5043079387419347,0.6789213203499869,0.8745833333333333,-0.5087766427240359,0.134032544150536
012.wav,-0.356,-0.1526,1.8675,4.4072,0.10232398761206846,0.6701005276213978,-0.7926213710865915,0.3695833333333332,0.9972693463107284,0.9706177219094625
013.wav,-0.3017,-0.1293,0.3154,3.2428,-0.44105582377839636,0.2696563070358088,-0.6122805181656109,0.4666666666666666,-0.26983112939118187,0.07264594740495094
014.wav,-0.3038,-0.1302,1.336,4.0381,0.17391142403174298,0.5744443748232694,-0.6210494007182208,0.4629166666666666,0.9688722487817067,0.6859720829798722
015.wav,-0.1338,-0.0574,0.4801,3.1628,0.24906562596244863,0.38860043764941765,0.3958998141430148,0.76625,0.10223143778188251,0.01095087529883533
016.wav,-0.5631,-0.2413,0.145,3.2697,-0.785138215160562,0.04669545770031611,-0.9859025914912384,0.0,-0.5843738388298857,0.09339091540063223
017.wav,-0.309,-0.1324,1.158,3.9056,0.14430089901391008,0.5187698099020592,-0.6421066220483573,0.45375,0.9307084200761775,0.5837896198041185
018.wav,-0.1641,-0.0703,-0.0282,3.3707,-0.28865126959225895,0.44189047196730147,0.21137545761307347,0.7124999999999999,-0.7886779967975914,0.17128094393460308
019.wav,-0.104,-0.0446,0.1736,3.3182,0.005747814121454198,0.47518844309914915,0.5508318257828212,0.8195833333333333,-0.5393361975399128,0.13079355286496494
020.wav,-0.4111,-0.1762,0.3786,3.3763,-0.5130174021209971,0.22342479949101568,-0.8956369309000808,0.27125,-0.13039787334191352,0.1755995989820314
021.wav,-0.4024,-0.1725,1.0893,3.8223,0.011358958490678028,0.403108146320146,-0.8834115832171185,0.2866666666666667,0.9061295001984746,0.5195496259736253
022.wav,-0.3898,-0.1671,0.1788,3.2444,-0.6970496488125739,0.19152325775687004,-0.8633092511067205,0.30916666666666665,-0.5307900465184274,0.07387984884707345
023.wav,-0.4169,-0.1787,0.3097,3.3797,-0.5925305980221081,0.21952748643993733,-0.90310342752599,0.2608333333333333,-0.28195776851822596,0.17822163954654135
024.wav,-0.2457,-0.1053,0.7305,3.681,0.13389984082946668,0.4886236857664328,-0.323206869613947,0.5666666666666667,0.5910065512728804,0.41058070486619896
025.wav,-0.2453,-0.1051,0.3627,3.4324,-0.2434969790519398,0.3931816341482224,-0.32079105810617564,0.5675,-0.16620289999770393,0.21886326829644479
026.wav,-0.2005,-0.0859,1.0848,3.9051,0.4368043744706478,0.6154520128017276,-0.03064906858110267,0.6475,0.9042578175223983,0.5834040256034551
027.wav,-0.2237,-0.0959,0.3182,3.3589,-0.22433873891806716,0.38400712706614226,-0.18483507073585445,0.6058333333333332,-0.26384240710027984,0.16218092079895136
028.wav,-0.0412,-0.0176,0.2363,3.3531,0.17491581745779833,0.5448956807022955,0.7789645052708104,0.9320833333333333,-0.42913287035521375,0.1577080280712578
029.wav,-0.0568,-0.0243,1.0428,3.8819,0.8095626906706934,0.734839560679674,0.7341251342127889,0.9041666666666667,0.885000247128598,0.5655124546926815
030.wav,-0.4984,-0.2136,0.0618,3.3099,-0.8316087352822525,0.11990467790031094,-0.9666135658252142,0.11541666666666657,-0.6966039047392908,0.1243926891339553
031.wav,-0.2319,-0.0994,0.7123,3.5494,0.16272547051308572,0.45017115562581933,-0.23760775346433785,0.5912499999999999,0.5630586944905093,0.3090923112516388
032.wav,-0.3837,-0.1644,0.2412,3.3409,-0.6361721805036473,0.23435809812087094,-0.8524616644853233,0.3204166666666667,-0.4198826965219712,0.14829952957507517
033.wav,-0.108,-0.0463,0.2561,3.3933,0.07028015828662942,0.5006049009022904,0.5317787577889745,0.8124999999999999,-0.3912184412157157,0.18870980180458086
034.wav,-0.2407,-0.1032,0.4406,3.5064,-0.1405431690185766,0.42567393833063427,-0.292714964859874,0.5754166666666667,0.011628626822720808,0.27593120999460186
035.wav,-0.3338,-0.143,0.5445,3.539,-0.24215250659599863,0.35532764260558863,-0.73006038614341,0.40958333333333335,0.24575537295141267,0.3010719518778439
036.wav,-0.2248,-0.0963,0.1972,3.3319,-0.34582945292119666,0.3727627503149019,-0.19198390919061017,0.6041666666666666,-0.49967499665178317,0.14135883396313725
037.wav,-0.3334,-0.1429,0.449,3.5356,-0.348918198264583,0.354224955656667,-0.7287991855820329,0.41,0.030962789052867014,0.298449911313334
038.wav,-0.356,-0.1526,0.4228,3.4681,-0.41098683250164453,0.30798901377856613,-0.7926213710865915,0.3695833333333332,-0.029352293916697574,0.24639469422379906
039.wav,-0.1502,-0.0644,0.4337,3.4266,0.14730170775069001,0.4757368544510424,0.29886357376766454,0.7370833333333333,-0.004260158266284498,0.21439037556875154
040.wav,-0.2127,-0.0912,0.0803,3.3971,-0.39320291766353993,0.408528492198144,-0.11238753174236761,0.6254166666666666,-0.6740183035847123,0.19164031772962137
041.wav,-0.0519,-0.0223,0.2552,3.3424,0.17800506043097042,0.5309781560885324,0.7489824560989145,0.9124999999999999,-0.3929723352369736,0.1494563121770649
042.wav,-0.2436,-0.1044,-0.3148,3.2908,-0.6246428459005122,0.34003982866764343,-0.31047750979576777,0.5704166666666666,-0.9388081820052567,0.1096629906686203
043.wav,-0.0696,-0.0298,0.1978,3.3203,0.09657287250027916,0.5068315242538752,0.6917833161951039,0.88125,-0.4986375711945456,0.13241304850775046
044.wav,-0.3689,-0.1581,0.7292,3.5065,-0.11686298056986139,0.3113374977507005,-0.822781068533272,0.3466666666666667,0.5890551073935493,0.27600832883473436
