filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0053,-0.0023,1.8084,4.3604,0.7432489548384088,0.9686543041457997,0.49021404422771053,0.986211901306241,0.9962838654491071,0.9510967069853583
002.wav,-0.0118,-0.0051,1.9127,4.4449,0.5029315197616893,0.982946298984035,0.008126215812809342,0.9658925979680698,0.9977368237105692,1.0
003.wav,-0.0072,-0.0031,0.5632,3.5705,0.27054015572899015,0.7371792911872102,0.36439153823452314,0.9804063860667636,0.17668877322345714,0.4939521963076568
004.wav,-0.02,-0.0086,0.5094,3.5112,-0.26337934795471213,0.7000632747067236,-0.577189594591057,0.9404934687953557,0.05043089868163272,0.45963308061809144
005.wav,-0.0037,-0.0016,1.2284,3.989,0.7626710074975724,0.8637227198699464,0.5825832808857822,0.991291727140784,0.9427587341093626,0.7361537125991088
006.wav,-0.0021,-0.0009,1.5643,4.1715,0.8250891934872292,0.9190724018710767,0.6620118752982053,0.9963715529753265,0.9881665116762531,0.841773250766827
007.wav,-0.0058,-0.0025,0.1399,2.717,-0.11066688343482775,0.4923802612481858,0.45873667555621306,0.9847605224963716,-0.6800704424258686,0.0
008.wav,-0.0126,-0.0054,0.5802,3.5495,0.07938821129194631,0.722757122478346,-0.05682348481054071,0.9637155297532658,0.21559990739443333,0.48179871520342626
009.wav,-0.0076,-0.0032,0.2742,3.373,-0.06684013879003459,0.6796661484350872,0.3358743530091804,0.9796806966618288,-0.46955463058924957,0.3796516002083456
010.wav,-0.0085,-0.0037,1.5174,4.1239,0.627351086213005,0.8951388049505298,0.2694748074153527,0.9760522496371553,0.9852273650106571,0.8142253602639042
011.wav,-0.007,-0.003,0.3896,3.4832,0.07393543024081321,0.7122802573087411,0.3784020536529945,0.9811320754716982,-0.23053119317136808,0.443428439145784
012.wav,-0.0279,-0.012,0.8698,3.7514,-0.07067806404014693,0.7572328919951239,-0.861780594691204,0.9158200290275762,0.7204244666109102,0.5986457549626715
013.wav,-0.0241,-0.0103,0.7492,3.6593,-0.10293324848781488,0.7367504040870774,-0.7579672294912907,0.9281567489114659,0.5521007325156609,0.5453440592626889
014.wav,-0.0116,-0.005,0.4637,3.3031,-0.016945027153806212,0.6529080788100626,0.024374355346501005,0.9666182873730044,-0.05826440965411343,0.3391978702471209
015.wav,-0.0067,-0.0029,0.6678,3.7935,0.40120373961502775,0.8024341778836547,0.39909542968062417,0.9818577648766328,0.4033120495494314,0.6230105908906766
016.wav,-0.0145,-0.0062,0.7887,3.6821,0.20294007798183822,0.7582246409162494,-0.208197336187759,0.9579100145137881,0.6140774921514355,0.5585392673187107
017.wav,-0.0013,-0.0006,0.9946,3.8342,0.766174309743052,0.8225569079675986,0.6969771730910433,0.9985486211901308,0.8353714463950608,0.6465651947450665
018.wav,-0.0117,-0.005,0.1967,3.3232,-0.29215143482254424,0.6587243876242301,0.01625135846093121,0.9666182873730044,-0.6005542281060197,0.3508304878754558
019.wav,-0.0087,-0.0037,0.1845,3.3145,-0.18223188255852968,0.6609238619561435,0.25433727624862634,0.9760522496371553,-0.6188010413656857,0.3457954742751316
020.wav,-0.0058,-0.0025,-0.0292,2.984,-0.19218840332180784,0.5696416768393658,0.45873667555621306,0.9847605224963716,-0.8431134821998287,0.15452283118236007
021.wav,-0.0123,-0.0053,1.6821,4.2702,0.4803677601109679,0.9316679155574554,-0.03249413500466223,0.9644412191582004,0.993229655226598,0.8988946119567106
022.wav,-0.0203,-0.0087,0.849,3.6906,0.051263377236259566,0.751613156435184,-0.5932181861598979,0.9397677793904211,0.695744940632417,0.5634585334799468
023.wav,-0.0268,-0.0115,0.2379,3.3598,-0.6855356872060743,0.6457303726403965,-0.8369291307020176,0.9194484760522497,-0.534142243710131,0.3720122692285433
024.wav,-0.0333,-0.0143,0.8972,3.7322,-0.09488172764008529,0.7433315867621554,-0.9401161883241178,0.8991291727140784,0.7503527330439472,0.5875340008102323
025.wav,-0.0424,-0.0182,0.2583,3.3562,-0.7422831133730343,0.6203780506232932,-0.9860316643901273,0.8708272859216256,-0.4985345623559414,0.3699288153249609
026.wav,-0.0059,-0.0025,0.278,3.3663,-0.005087884489802408,0.680267291747636,0.452296527675788,0.9847605224963716,-0.4624722966553928,0.37577406099890037
027.wav,-0.0036,-0.0016,0.1084,3.256,-0.06521533936087698,0.6516155377413508,0.5879261382626272,0.991291727140784,-0.7183568169843811,0.31193934834191783
028.wav,-0.007,-0.003,1.0536,3.8564,0.6257687516531817,0.8202726179777613,0.3784020536529945,0.9811320754716982,0.8731354496533689,0.6594131604838244
029.wav,-0.0081,-0.0035,0.3122,3.3863,-0.04838136998068157,0.682426216677358,0.2993477485309173,0.9775036284470248,-0.3961104884922804,0.3873488049076914
030.wav,-0.0303,-0.013,0.4157,3.4611,-0.5376019519164643,0.6696007410523996,-0.9042874044410464,0.9085631349782293,-0.17091649939188233,0.43063834712656995
031.wav,-0.0073,-0.0031,0.204,3.3245,-0.11600153257625032,0.6659946161481454,0.35732340142149505,0.9804063860667636,-0.5893264665739957,0.35158284622952723
032.wav,-0.0105,-0.0045,0.6392,3.5946,0.22903009849493744,0.7390732485577138,0.11328119501598555,0.9702467343976778,0.34477900197388933,0.5078997627177498
033.wav,-0.0068,-0.0029,0.5534,3.5725,0.27311842941895514,0.7384837177875843,0.3922413056064801,0.9818577648766328,0.1539955532314302,0.49510967069853573
034.wav,-0.0119,-0.0051,1.6625,4.2426,0.49628491149934645,0.9244070316653246,0.0,0.9658925979680698,0.9925698229986929,0.8829214653625792
035.wav,-0.0103,-0.0044,0.1477,3.248,-0.2703338437954407,0.6391409372905071,0.12929452570633887,0.9709724238026126,-0.6699622132972203,0.3073094507784017
