filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0325,-0.0139,1.9143,4.4454,0.655362695006999,0.9668341708542714,0.31336673043506763,0.9336683417085427,0.9973586595789302,1.0
002.wav,-0.0877,-0.0376,1.0737,3.8817,0.08700862156418887,0.724717446540905,-0.7008938867304498,0.8145728643216081,0.8749111298588276,0.6348620287602019
003.wav,-0.466,-0.1997,0.4067,3.4443,-0.5996358565163443,0.17576758647493196,-0.9999999722870092,0.0,-0.19927174074567935,0.3515351729498639
004.wav,-0.0836,-0.0358,0.2037,3.3075,-0.620742090414198,0.5432703744138492,-0.6529479372487841,0.8236180904522613,-0.5885362435796119,0.26292265837543716
005.wav,-0.0628,-0.0269,0.8935,3.7402,0.2064793930664912,0.7057733934603709,-0.3192034080350654,0.8683417085427135,0.7321621941680478,0.5432050783780282
006.wav,-0.1617,-0.0693,-0.0167,3.2563,-0.9080842375755968,0.4425170612747634,-0.9857588146641427,0.6552763819095477,-0.8304096604870508,0.22975774063997914
007.wav,-0.0487,-0.0209,0.6576,3.5659,0.16976965324469886,0.6643971574415671,-0.025936134339756885,0.8984924623115578,0.3654754408291546,0.43030185257157655
008.wav,-0.1369,-0.0587,0.6446,3.6699,-0.3100146957393227,0.6031054026447824,-0.9589491086859715,0.7085427135678392,0.338919717207326,0.4976680917217256
009.wav,-0.1404,-0.0602,0.2932,3.3902,-0.7000649329804277,0.508748399335712,-0.9646120582657697,0.7010050251256281,-0.43551780769508575,0.31649177354579605
010.wav,-0.2628,-0.1126,0.5868,3.5871,-0.3925720816511333,0.4408613217662349,-0.9998187767112874,0.43768844221105524,0.21467461340902086,0.4440342013214145
011.wav,-0.0407,-0.0175,1.7019,4.2787,0.5694283186541629,0.9037987905585707,0.14595453448909218,0.9155778894472362,0.9929021028192335,0.8920196916699051
012.wav,-0.2272,-0.0974,0.5123,3.5021,-0.4774357851148905,0.4515228038104761,-0.9991556047069863,0.514070351758794,0.044284034477205275,0.3889752558621582
013.wav,-0.0475,-0.0203,1.4968,4.1616,0.4908140699045821,0.8588377175422389,0.0,0.9015075376884423,0.9816281398091642,0.8161678973960356
014.wav,-0.1972,-0.0845,0.2947,3.3821,-0.7147963824708152,0.4450697261407438,-0.9969141065529173,0.578894472361809,-0.4326786583887131,0.31124497991967853
015.wav,-0.0536,-0.023,0.5906,3.531,0.046000028569467416,0.6478174979053839,-0.13111245020163845,0.8879396984924623,0.22311250734057328,0.40769529731830545
016.wav,-0.0432,-0.0185,1.7898,4.3598,0.5439878643621299,0.9275525834900633,0.092691823033005,0.9105527638190956,0.9952839056912548,0.944552403161031
017.wav,-0.1442,-0.0618,0.1844,3.3363,-0.7935362784726521,0.4872713743611176,-0.9698930348233905,0.692964824120603,-0.6171795221219135,0.2815779246016322
018.wav,-0.2024,-0.0868,0.5501,3.5152,-0.43291580065709145,0.4823987472014822,-0.9975346798183499,0.5673366834170854,0.13170307850416693,0.39746081098587893
019.wav,-0.1993,-0.0854,0.1129,3.3521,-0.8535931122099345,0.43309213511527056,-0.9971815747013056,0.5743718592964824,-0.7100046497185633,0.29181241093405874
020.wav,-0.0509,-0.0218,0.3028,3.3649,-0.24528470713505857,0.5970367448070772,-0.07337011657259683,0.8939698492462312,-0.4171992976975203,0.3001036403679232
021.wav,-0.0415,-0.0178,1.279,3.9836,0.539526673721785,0.8074691699200758,0.1289871846367027,0.9140703517587939,0.9500661628068672,0.7008679880813575
022.wav,-0.0237,-0.0101,0.5746,3.5499,0.33041438995708017,0.6863508174373617,0.473455896056619,0.9527638190954775,0.1873728838575413,0.41993781577924594
023.wav,-0.2058,-0.0882,0.0759,3.355,-0.8740519915427478,0.4269962000701786,-0.9978713545789982,0.5603015075376885,-0.7502326285064973,0.2936908926026686
024.wav,-0.1788,-0.0766,-0.0182,3.1255,-0.9123339861019284,0.38181235234339855,-0.9931754904513339,0.6185929648241206,-0.831492481752523,0.1450317398626765
025.wav,-0.0865,-0.0371,0.2927,3.4028,-0.5619584519626803,0.5708694398277174,-0.6874546312843501,0.8170854271356784,-0.43646227264101056,0.32465345251975636
026.wav,-0.0683,-0.0293,0.2036,3.2964,-0.5051542831720451,0.5560070074429669,-0.42161990105987734,0.856281407035176,-0.5886886652842129,0.2557326078507579
027.wav,-0.1059,-0.0454,-0.1041,3.3258,-0.8678238859493517,0.525076704939388,-0.851754160368408,0.7753768844221106,-0.8838936115302954,0.2747765254566653
028.wav,-0.0656,-0.0281,0.4942,3.4915,-0.18518685875682095,0.6222103196380918,-0.37247275206411523,0.8623115577889446,0.0020990345504733427,0.38210908148723904
029.wav,-0.0518,-0.0222,-0.1243,3.3206,-0.49323565215767873,0.5816840062470664,-0.092691823033005,0.8919597989949749,-0.8937794812823525,0.27140821349915795
030.wav,-0.0658,-0.0282,0.3313,3.402,-0.36850460576960964,0.5929721479531352,-0.3761905533933621,0.8618090452261307,-0.3608186581458572,0.3241352506801399
031.wav,-0.0703,-0.0301,0.5745,3.5495,-0.13468247762976032,0.6359700106960505,-0.4565127911347436,0.8522613065326634,0.18714783587522293,0.4196787148594377
032.wav,-0.0787,-0.0337,0.4842,3.5539,-0.3045732774550701,0.6283498396243427,-0.5879261382626272,0.8341708542713567,-0.021220416647513077,0.4225288249773286
033.wav,-0.0684,-0.0293,1.0371,3.8212,0.21496819558184835,0.7259772108371889,-0.423395814948705,0.856281407035176,0.8533322061124017,0.595673014639202
034.wav,-0.0256,-0.011,0.1257,3.2656,-0.12695484252759884,0.5920115215278361,0.44097508320607276,0.9482412060301507,-0.6948847682612704,0.23578183702552136
