filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0445,-0.0191,1.9153,4.4462,0.35138732472832773,0.9329529243937232,-0.2970958022421304,0.8659058487874465,0.9998704516987859,1.0
002.wav,-0.0466,-0.02,0.4848,3.5138,-0.07671153373379176,0.5845121813117347,-0.34991699199262816,0.8594864479315264,0.19649392452504463,0.3095379146919429
003.wav,-0.0214,-0.0092,0.1979,3.3235,-0.14594609975197767,0.5525679821818527,0.33003375591798906,0.9365192582025679,-0.6219259554219444,0.16861670616113744
004.wav,-0.0322,-0.0138,0.4537,3.3715,0.06878947230012543,0.553935358509509,0.039325004010625615,0.9037089871611982,0.09825394058962525,0.20416172985781994
005.wav,-0.2437,-0.1044,0.196,3.3099,-0.8128310728536752,0.20801745855615866,-0.9999851285799194,0.2574893009985735,-0.625677017127431,0.15854561611374388
006.wav,-0.1983,-0.085,0.2577,3.2932,-0.7444536249162805,0.2710209813671735,-0.9998092093669383,0.3958630527817404,-0.48909804046562266,0.14617890995260666
007.wav,-0.0505,-0.0216,0.2806,3.3803,-0.4364908339639092,0.5293762486393845,-0.4421932788423451,0.8480741797432239,-0.43078838908547334,0.210678317535545
008.wav,-0.0994,-0.0426,0.2834,3.3743,-0.6875315696613753,0.4522616746726071,-0.9516732755365475,0.6982881597717546,-0.423389863786203,0.20623518957345952
009.wav,-0.05,-0.0214,0.279,3.3697,-0.4329047254735265,0.5261647523679779,-0.43081909644317057,0.8495007132667617,-0.4349903545038824,0.20282879146919416
010.wav,-0.0083,-0.0036,0.2781,3.3764,0.08698696320987517,0.5921262406109078,0.6113196042988736,0.9764621968616263,-0.4373456778791232,0.20779028436018937
011.wav,-0.0796,-0.0341,0.2165,3.335,-0.7217659384794505,0.46802426797195607,-0.859851312491138,0.7589158345221113,-0.583680564467763,0.17713270142180085
012.wav,-0.0154,-0.0066,0.5057,3.5137,0.36579490593927666,0.6322640282839005,0.4711044079931599,0.9550641940085592,0.2604854038853934,0.30946386255924163
013.wav,-0.0754,-0.0323,0.516,3.5083,-0.2672741110888807,0.5386098418136582,-0.8257851596156848,0.7717546362339516,0.29123693743792334,0.305465047393365
014.wav,-0.0383,-0.0164,0.7209,3.6559,0.3069495978289274,0.649965023307935,-0.13132491082475106,0.8851640513552068,0.7452241064826058,0.4147659952606634
015.wav,-0.0321,-0.0138,0.5237,3.4859,0.17798688957605935,0.5962931784147223,0.04213071858005121,0.9037089871611982,0.3138430605720675,0.28887736966824634
016.wav,-0.0342,-0.0147,0.2807,3.3624,-0.22369290661511768,0.5473562860436343,-0.01686067098464251,0.8972895863052782,-0.43052514224559285,0.19742298578199047
017.wav,-0.0279,-0.0119,0.4538,3.4642,0.12870461492563695,0.5950345562534226,0.15883523267233995,0.9172610556348074,0.09857399717893395,0.2728080568720378
018.wav,-0.0542,-0.0232,0.7157,3.6367,0.10788225004808921,0.618604948668456,-0.5218930461552617,0.8366619115549215,0.7376575462514401,0.4005479857819903
019.wav,-0.0621,-0.0266,0.4104,3.4442,-0.3529581015497999,0.5352042359932662,-0.6645718798884411,0.8124108416547788,-0.04134432321115866,0.25799763033175344
020.wav,-0.0842,-0.0361,0.1634,3.3206,-0.7878219957416221,0.4555598467997648,-0.8900260843994487,0.7446504992867333,-0.6856179070837957,0.16646919431279628
021.wav,-0.0531,-0.0227,0.9767,3.8304,0.22330014421664107,0.6921076060942053,-0.49903758172941015,0.8402282453637661,0.9456378701626923,0.5439869668246444
022.wav,-0.0909,-0.0389,0.1604,3.2299,-0.8069665180050267,0.4119914699549054,-0.9232112446539541,0.724679029957204,-0.6907217913560993,0.09930390995260671
