filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0807,-0.0346,1.9115,4.444,0.9988423610525157,0.9663012586276898,0.9982714050560728,0.9326025172553796,0.9994133170489584,1.0
002.wav,-0.1105,-0.0473,1.0347,3.8579,0.9591758562283702,0.7153910135504428,0.9970367593988494,0.881039382866423,0.921314953057891,0.5497426442344625
003.wav,-0.55,-0.2357,0.1959,3.3218,-0.6311122549141939,0.12700757568314347,-0.6184398279157881,0.11611855460820134,-0.6437846819125996,0.13789659675808558
004.wav,-0.3309,-0.1418,0.6256,3.58,0.6348009372125705,0.41680676735201605,0.8513841217554897,0.4973609419407226,0.4182177526696512,0.33625259276330954
005.wav,-0.469,-0.201,0.4696,3.4123,0.008529756869272745,0.23221235942092774,0.01086385326332245,0.25700365408038967,0.006195660475223041,0.20742106476146582
006.wav,-0.4846,-0.2077,0.4463,3.4539,-0.09449533084788302,0.23459016444063535,-0.12963772825006561,0.22980105562322364,-0.05935293344570042,0.2393792732580471
007.wav,-0.3373,-0.1445,0.3336,3.4136,0.23734838533741873,0.3474092297742005,0.8346338614083486,0.48639870077141695,-0.35993709073351116,0.20841975877698404
008.wav,-0.5821,-0.2495,-0.3026,3.159,-0.8706126806699308,0.03645934946683124,-0.767038765935097,0.06008932196508315,-0.9741865954047646,0.012829376968579333
009.wav,-0.6057,-0.2596,0.3718,3.4294,-0.5522737654757577,0.1198200760047971,-0.841636483730805,0.01908241981323582,-0.2629110472207104,0.22055773219635838
010.wav,-0.5447,-0.2335,0.042,3.2783,-0.7104895517048684,0.11476475483152032,-0.5879261382626272,0.12505075111652444,-0.8330529651471095,0.1044787585465162
011.wav,-0.4432,-0.1899,0.3496,3.2093,-0.04020230729529779,0.17677089933083834,0.23969105967749335,0.30207064555420204,-0.32009567426808894,0.05147115310747464
012.wav,-0.4562,-0.1955,0.987,3.791,0.512185602078477,0.3888412295473818,0.12607550604219656,0.2793341453511976,0.8982956981147574,0.49834831374356603
013.wav,-0.5325,-0.2282,0.3895,3.3802,-0.36344952736529057,0.1646651146813821,-0.5109667517005035,0.1465692245229395,-0.21593230303007754,0.1827610048398247
014.wav,-0.3987,-0.1709,0.6255,3.6133,0.49392759687986143,0.37052343337771454,0.5698698351438669,0.3792123426715387,0.41798535861585595,0.3618345240838904
015.wav,-0.3826,-0.164,0.781,3.6868,0.6840817349310918,0.4127630531310268,0.6601573587535744,0.40722695899309774,0.7080061111086092,0.41829914726895584
016.wav,-0.5122,-0.2195,0.6669,3.6147,0.07320882768124587,0.2724010211700112,-0.3629244060100676,0.18189200162403565,0.5093420613725593,0.36291004071598676
017.wav,-0.4727,-0.2026,0.1855,3.2524,-0.3416212567899232,0.16754460600898835,-0.022630053819742993,0.25050751116524556,-0.6606124597601034,0.08458170085273112
018.wav,-0.4702,-0.2015,0.2279,3.3564,-0.2939630691313136,0.2097254157567957,0.0,0.2549736094194071,-0.5879261382626272,0.16447722209418433
019.wav,-0.5179,-0.2219,0.3269,3.405,-0.39155959685882413,0.18698040050128384,-0.4068705242039286,0.17214778725131952,-0.3762486695137196,0.20181301375124816
020.wav,-0.416,-0.1783,1.0094,3.8252,0.6822909302009719,0.43689466515117453,0.4547744899802972,0.34916768168899714,0.9098073704216465,0.5246216486133519
021.wav,-0.44,-0.1886,0.549,3.5354,0.2463230300705685,0.3046692337210677,0.2668021653865037,0.30734876167275677,0.22584389475463332,0.30198970576937856
