filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0452,-0.0194,1.9077,4.4413,0.7998308621817125,0.9526960784313725,0.6013631673226827,0.9053921568627451,0.9982985570407423,1.0
002.wav,-0.0184,-0.0079,1.8577,4.4033,0.8671886946113373,0.9675312180947144,0.736552328187073,0.961764705882353,0.9978250610356016,0.9732977303070759
003.wav,-0.0541,-0.0232,1.4991,3.7751,0.7668301606431536,0.7093158783434672,0.54626870053882,0.8867647058823529,0.9873916207474872,0.5318670508045815
004.wav,-0.0954,-0.0409,1.7718,4.3707,0.6120450296855462,0.8751949968378891,0.2274056861554413,0.8,0.9966843732156511,0.9503899936757784
005.wav,-0.1465,-0.0628,0.1481,3.2826,-0.44731328912341,0.43921932029083144,-0.2361488555950718,0.6926470588235294,-0.6584777226517482,0.1857915817581335
006.wav,-0.0143,-0.0061,-0.5458,3.0182,-0.11654402710465644,0.4852941176470588,0.7534048672958965,0.9705882352941176,-0.9864929215052094,0.0
007.wav,-0.1294,-0.0554,0.3277,3.3796,-0.2088796830354474,0.4914371036166556,-0.08250643098346229,0.7289215686274509,-0.33525293508743254,0.25395263860586026
008.wav,-0.1001,-0.0429,0.2094,3.3836,-0.18934876148766852,0.5234797411340335,0.18584093702312948,0.7901960784313725,-0.5645384599984665,0.2567634038366944
009.wav,-0.2104,-0.0902,0.9731,3.8447,0.08182345179465,0.5695538495772141,-0.6810672679852667,0.5583333333333333,0.8447141715745667,0.5807743658210948
010.wav,-0.1093,-0.0468,-0.0621,3.4615,-0.380391070307593,0.5412907440398687,0.10265860367371232,0.771078431372549,-0.8634407442888983,0.3115030567071884
011.wav,-0.2026,-0.0868,1.801,4.3572,0.17830997783346858,0.7579518305108565,-0.6405070810595016,0.575,0.9971270367264388,0.940903661021713
012.wav,-0.2648,-0.1135,0.0997,3.1469,-0.7954224367301211,0.26727700918045516,-0.8701595162085971,0.4441176470588235,-0.7206853572516452,0.09043637130208687
013.wav,-0.1762,-0.0755,0.6834,3.6205,0.003984970054075665,0.5268115657477943,-0.473915282973392,0.630392156862745,0.48188522308154336,0.4232309746328436
014.wav,-0.0517,-0.0222,-0.0476,3.2006,-0.14622551223860064,0.5099187805963507,0.5616378039882165,0.8916666666666666,-0.8540888284654178,0.12817089452603467
015.wav,-0.1454,-0.0623,0.9045,3.7869,0.2812423461200002,0.6176284237256142,-0.22652932338486115,0.6950980392156862,0.7890140156248616,0.5401588082355422
016.wav,-0.2581,-0.1106,1.4187,4.0813,0.0635224048003899,0.6026822312791322,-0.8542930962978162,0.4583333333333333,0.981337905898596,0.7470311292249312
017.wav,-0.2188,-0.0938,0.5545,3.5439,-0.2574199070097594,0.4550455474860873,-0.7205147333894357,0.5406862745098039,0.20567491936991691,0.36940482046237066
018.wav,-0.0887,-0.038,0.3185,3.4439,-0.03497271541540087,0.5566756879830141,0.28522191946593733,0.8142156862745097,-0.35516735029673907,0.29913568969151855
019.wav,-0.1701,-0.0729,1.1276,3.8437,0.24757082400876337,0.6116044647076735,-0.4290617075911572,0.6431372549019606,0.9242033556086839,0.5800716745133863
020.wav,-0.1627,-0.0697,1.0275,3.816,0.25363041576520856,0.6097153273508125,-0.37168180945757734,0.6588235294117648,0.8789426409879945,0.56060712528986
021.wav,-0.0619,-0.0265,0.9069,3.816,0.6424791749058013,0.7155976802919888,0.4937283333944669,0.8705882352941177,0.7912300164171356,0.56060712528986
022.wav,-0.1884,-0.0807,0.3764,3.4327,-0.3908413087290794,0.4480837539147483,-0.5565567325660752,0.6049019607843137,-0.22512588489208368,0.291265547045183
023.wav,-0.2076,-0.089,0.971,3.8182,0.08813910937614322,0.5631843662206644,-0.6669510892024921,0.5642156862745098,0.8432293079547786,0.5621530461668188
024.wav,-0.2856,-0.1224,0.5562,3.5193,-0.35002555492995985,0.37630440518558617,-0.9097237701039316,0.4004901960784314,0.20967266024401188,0.352118614292741
025.wav,-0.0608,-0.0261,0.8811,3.7693,0.633838691150606,0.7001702304138575,0.5013757074955469,0.872549019607843,0.7663016748056649,0.527791441219872
026.wav,-0.1162,-0.0498,1.8215,4.3753,0.5183250919149087,0.8549974613554226,0.039248126187904415,0.7563725490196077,0.9974020576419129,0.9536223736912376
027.wav,-0.0364,-0.0156,0.8428,3.737,0.687652289692517,0.7145570599120119,0.650744135481826,0.9240196078431372,0.7245604439032081,0.5050945119808867
028.wav,-0.1188,-0.0509,0.2439,3.3464,-0.24438856497601574,0.4908018396734001,0.015244158084769881,0.7509803921568627,-0.5040212880368014,0.23062328718993738
029.wav,-0.2705,-0.1159,0.6874,3.6172,-0.1964898398069073,0.42663251724693807,-0.8823767530258146,0.43235294117647055,0.48939707341200006,0.42091209331740553
030.wav,-0.061,-0.0262,0.0238,3.4433,-0.1494613333511536,0.5853864492181524,0.4999910319446463,0.8720588235294117,-0.7989136986469535,0.29871407490689317
031.wav,-0.176,-0.0754,-0.3305,3.1863,-0.7170256414619074,0.37450238088348964,-0.4724811436111561,0.6308823529411764,-0.9615701393126586,0.11812240882580279
