filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.024,-0.0103,1.9052,4.4401,0.7108601667749823,0.9680217761039908,0.42229435252525926,0.9393564356435643,0.9994259810247055,0.9966871165644172
002.wav,-0.0363,-0.0155,1.0833,3.8967,0.5472120355661044,0.7852455506286826,0.1466339849853362,0.9071782178217823,0.9477900861468727,0.6633128834355828
003.wav,-0.002,-0.0008,0.1832,3.3059,0.08515298481932432,0.6495012300309785,0.7582321079012758,0.9981435643564357,-0.5879261382626272,0.3008588957055213
004.wav,-0.0408,-0.0175,1.3129,4.0534,0.5109624801034172,0.827124916479378,0.036907904335366684,0.8948019801980199,0.9850170558714676,0.7594478527607361
005.wav,-0.0391,-0.0167,0.4276,3.4794,0.03930505767650153,0.6535265443722287,0.07861011535300307,0.8997524752475248,0.0,0.40730061349693253
006.wav,-0.0542,-0.0232,-0.2735,3.3594,-0.6219804641824422,0.5966053422826945,-0.28483464921708934,0.8595297029702971,-0.9591262791477952,0.33368098159509196
007.wav,-0.0514,-0.022,0.2381,3.3245,-0.35016608881666733,0.5896126920974306,-0.22033645554541748,0.8669554455445545,-0.47999572208791724,0.3122699386503067
008.wav,-0.0302,-0.013,0.4453,3.4742,0.16908073299093557,0.6633794721496689,0.2893521375895874,0.922648514851485,0.04880932839228375,0.4041104294478528
009.wav,-0.1767,-0.0757,0.2533,3.2999,-0.7221982923322869,0.41591568972848203,-0.997328436889214,0.5346534653465346,-0.44706814777535997,0.29717791411042943
010.wav,-0.0423,-0.0181,-0.1372,3.2113,-0.457606826089979,0.5669555974002308,0.0,0.8910891089108911,-0.915213652179958,0.24282208588957052
011.wav,-0.1333,-0.0571,1.0507,3.8602,-0.019887099153796106,0.6453363603231488,-0.9775914884304245,0.6497524752475248,0.9378172901228323,0.6409202453987729
