filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0019,-0.0008,1.8857,4.429,0.8670161593303145,0.9956730031591535,0.7342045979370337,0.9955849889624725,0.9998277207235954,0.9957610173558346
002.wav,-0.0269,-0.0115,1.8978,4.4343,0.6802224070745988,0.9584253127299485,0.3606043191023457,0.916850625459897,0.9998404950468519,1.0
003.wav,-0.0727,-0.0311,1.1824,3.9382,0.2070642971733152,0.687921079956263,-0.5708084427821442,0.772626931567329,0.9849370371287746,0.603215228345197
004.wav,-0.0771,-0.033,1.0845,3.8168,0.1692698779289124,0.6323822974171261,-0.6335460839526579,0.7586460632818249,0.9720858398104827,0.5061185315524274
005.wav,-0.3176,-0.1361,0.3248,3.3999,-0.6410103408152557,0.08633927857314243,-0.9999906478128133,0.0,-0.282030033817698,0.17267855714628486
006.wav,-0.0303,-0.013,0.309,3.3836,-0.017530679715443337,0.5327273919307195,0.2925860119483114,0.905813097866078,-0.3276473713791981,0.1596416859953609
007.wav,-0.0555,-0.0238,0.5069,3.2563,0.012326235585283396,0.4420845104606829,-0.2573775626471312,0.8263428991905813,0.282030033817698,0.05782612173078445
008.wav,-0.1332,-0.0571,-0.2739,3.3041,-0.969945629886273,0.3386833664703399,-0.9643388938066343,0.5813097866077999,-0.9755523659659118,0.09605694633287999
009.wav,-0.1993,-0.0854,0.2617,3.3499,-0.7264819145602104,0.2528782937569596,-0.9981247674717669,0.37306843267108164,-0.45483906164865384,0.13268815484283747
010.wav,-0.2407,-0.1032,0.6027,3.5605,-0.23314959094434967,0.2716087506180268,-0.9997065024048684,0.2420897718910964,0.533407320516169,0.3011277293449572
011.wav,-0.081,-0.0347,0.3026,3.3821,-0.5143551622130138,0.4522894196342104,-0.6829971270909174,0.7461368653421633,-0.3457131973351101,0.15844197392625745
012.wav,-0.2637,-0.113,0.2328,3.3456,-0.7622953144112831,0.14961345259477676,-0.9998952914654436,0.16997792494481234,-0.5246953373571225,0.1292489802447412
013.wav,-0.0375,-0.0161,-0.1744,3.2483,-0.40764072629234,0.4672149324338758,0.13914350816185025,0.8830022075055187,-0.9544249607465303,0.0514276573622329
014.wav,-0.1431,-0.0613,1.1403,3.9094,0.001690587857103465,0.5652927329817592,-0.9769702825338102,0.5504047093451068,0.9803514582480172,0.5801807566184115
015.wav,-0.0099,-0.0042,0.6894,3.6203,0.6710264591679482,0.6597614217915145,0.6402055642757913,0.9705665930831493,0.7018473540601051,0.3489562504998797
016.wav,-0.0516,-0.0221,0.4279,3.4074,-0.0678835561577972,0.5087646073110222,-0.17411324591825444,0.8388520971302428,0.038346133602660024,0.1786771174918018
