filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0104,-0.0045,1.7415,4.2957,0.8614898406816598,0.9332614088056702,0.7271342673989233,0.9701280227596016,0.9958454139643964,0.8963947948517388
002.wav,-0.0519,-0.0222,1.7616,4.3272,0.595570110487092,0.8815164871267673,0.1949278078041452,0.8442389758179232,0.9962124131700387,0.9187939984356116
003.wav,-0.0707,-0.0303,0.6205,3.6145,0.16716738242747764,0.5993159313873994,-0.13030873388682096,0.786628733997155,0.46464349874177624,0.4120031287776436
004.wav,-0.152,-0.0651,0.519,3.4877,-0.3255708005223059,0.43047775560678025,-0.914061966229263,0.5391180654338549,0.2629203651846511,0.3218374457797056
005.wav,-0.0142,-0.0061,1.0873,3.8878,0.8063958919885061,0.7825455537462035,0.6943043904165423,0.9587482219061166,0.9184873935604698,0.6063428855862903
006.wav,-0.0569,-0.0244,0.2692,3.3521,-0.09384299865382187,0.527002978569613,0.1096427252098879,0.8285917496443812,-0.2973287225175316,0.22541420749484475
007.wav,-0.0745,-0.0319,0.131,3.3528,-0.3748192459323465,0.500580450359078,-0.19492780780414498,0.7752489331436699,-0.554710684060548,0.22591196757448617
008.wav,-0.0359,-0.0154,0.745,3.2556,0.551197415702811,0.5246987772661713,0.4438668738378526,0.8926031294452347,0.6585279575677693,0.15679442508710797
009.wav,-0.0158,-0.0068,0.5538,3.7448,0.5077199787794789,0.7292135856032532,0.6795409648505134,0.9537695590327169,0.33589899270844453,0.5046576121737896
010.wav,-0.0231,-0.0099,0.2491,3.3324,0.132924924010278,0.5715635057805816,0.604812883717162,0.9317211948790897,-0.338963035696606,0.21140581668207348
011.wav,-0.055,-0.0236,0.5702,3.6299,0.2556575543586168,0.6286177503004414,0.14231300066221259,0.8342816500711238,0.36900210805502104,0.42295385052975915
012.wav,-0.1081,-0.0463,0.3693,3.4818,-0.3655100973771325,0.49523638242822954,-0.6553253932933868,0.6728307254623043,-0.07569480146087827,0.3176420393941548
013.wav,-0.0637,-0.0273,0.1939,3.3085,-0.2275564241235766,0.5011883629944461,-0.008736704635133078,0.8079658605974395,-0.4463761436120201,0.19441086539145283
014.wav,-0.0831,-0.0356,0.576,3.5643,0.023066802121750718,0.5626198819395225,-0.3343605830355278,0.7489331436699858,0.38049418727902923,0.3763066202090592
015.wav,-0.0217,-0.0093,1.8288,4.3685,0.8086592395577556,0.9420752316668064,0.6200983926481861,0.9359886201991464,0.9972200864673252,0.9481618431344665
016.wav,-0.0246,-0.0105,0.7149,3.6417,0.6026729602533107,0.6793992164299466,0.5879261382626272,0.9274537695590326,0.6174197822439943,0.43134466330086063
017.wav,-0.0842,-0.0361,-0.4275,3.4651,-0.6543122937989971,0.5255719309844169,-0.35132184956907037,0.7453769559032717,-0.957302738028924,0.3057669060655622
018.wav,-0.0127,-0.0054,-0.0498,3.3795,-0.035508072282826486,0.6043124219815951,0.7076344037692114,0.9637268847795164,-0.7786505483348644,0.24489795918367369
019.wav,-0.0718,-0.0308,0.276,3.3454,-0.21606384958367114,0.5018612393386438,-0.14915406686502905,0.783072546230441,-0.28297363230231326,0.22064993244684653
020.wav,-0.0713,-0.0305,-0.2998,3.4249,-0.5324834084768886,0.5311937573340209,-0.14060058095979583,0.7852062588904694,-0.9243662359939813,0.27718125577757247
021.wav,-0.0135,-0.0058,0.2468,3.3336,0.17846937397434134,0.586570527120945,0.7005860329621512,0.960881934566145,-0.3436472850134685,0.21225911967574504
022.wav,-0.0241,-0.0103,0.6558,3.7002,0.5598034076367528,0.7009097144540283,0.5936137240303161,0.9288762446657183,0.5259930912431896,0.4729431842423383
023.wav,-0.0223,-0.0095,0.1544,3.2045,0.04867462967483471,0.5275120421828655,0.6136035422078817,0.9345661450924608,-0.5162542828582123,0.1204579392732703
024.wav,-0.0397,-0.017,0.3111,3.3853,0.09102267269179679,0.565122792789084,0.38901219902298817,0.8812233285917496,-0.2069668536393946,0.24902225698641833
025.wav,-0.0115,-0.0049,0.1822,3.3615,0.12511893682441239,0.599690743412417,0.7179485105175092,0.9672830725462305,-0.4677106368686844,0.23209841427860348
026.wav,-0.0204,-0.0087,-0.0131,3.2912,-0.05460120359591519,0.5611825630426138,0.6338830527907441,0.9402560455192033,-0.7430854599825745,0.18210908056602432
027.wav,-0.1099,-0.0471,0.0429,3.1361,-0.6762176663997354,0.369480246834783,-0.6729027250457028,0.6671408250355618,-0.6795326077537679,0.07181966863400412
028.wav,-0.0445,-0.0191,0.5674,3.5691,0.33951036471603324,0.6230035860776476,0.31560745640494947,0.8662873399715504,0.36341327302711707,0.3797198321837448
