filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0059,-0.0025,1.9118,4.4443,0.8675514820955477,0.9935794542536116,0.7379094616337082,0.9871589085072231,0.9971935025573873,1.0
002.wav,-0.0902,-0.0387,1.1937,3.9075,0.2717678787626237,0.8051102368485399,-0.3730815443890415,0.7934724451578383,0.9166173019142889,0.8167480285392413
003.wav,-0.1371,-0.0587,0.8658,3.7202,-0.07916727240973576,0.719635593717372,-0.8131707179961455,0.6864633493846977,0.654836173176674,0.7528078380500461
004.wav,-0.0796,-0.0341,0.5711,3.5546,-0.07046238799025656,0.7571800489499123,-0.22011049641326885,0.8180845371856608,0.07918572043275574,0.6962755607141637
005.wav,-0.0977,-0.0419,0.2125,3.3651,-0.5610769798698386,0.7039676636945915,-0.47074417623180614,0.7763509898341359,-0.651409783507871,0.6315843375550472
006.wav,-0.19,-0.0814,0.9551,3.7476,-0.10094226282546054,0.6635848171288052,-0.9622818669755197,0.565008025682183,0.7603973413245986,0.7621616085754274
007.wav,-0.0471,-0.0202,1.0686,3.8417,0.56868050869336,0.8433705914434331,0.2839881995163857,0.8924558587479936,0.8533728178703343,0.7942853241388725
008.wav,-0.053,-0.0227,0.243,3.4547,-0.20580832609166602,0.7706257858531842,0.19581758311431224,0.879079721776351,-0.6074342352976443,0.6621718499300173
009.wav,-0.033,-0.0142,0.9927,3.813,0.6351157852697163,0.8545231745306003,0.47444190930393343,0.9245585874799358,0.7957896612354993,0.784487761581265
010.wav,-0.1367,-0.0586,0.3578,3.4646,-0.6083573600214728,0.6762749459041129,-0.8110091319247407,0.6869983948635634,-0.40570558811820495,0.6655514969446624
011.wav,-0.1876,-0.0804,0.6276,3.5888,-0.3740945542657128,0.6391545927087072,-0.9593569814597979,0.57035848047084,0.2111678729283723,0.7079507049465743
012.wav,-0.2027,-0.0869,0.7063,3.6427,-0.29627715418106526,0.6309657648521056,-0.9746365318907382,0.5355805243445693,0.3820822235286077,0.7263510053596421
013.wav,-0.1667,-0.0715,0.0825,3.2712,-0.8594469183774598,0.6087532128893776,-0.9225788750384143,0.6179775280898876,-0.7963149617165052,0.5995288976888675
014.wav,-0.0595,-0.0255,0.8204,3.7179,0.3416652950149738,0.8080605579498017,0.0949354629405414,0.8640984483681112,0.5883951270894061,0.7520226675314923
