filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0015,-0.0006,1.9103,4.4434,0.878846632182441,0.9990450228739527,0.7593607925058151,0.9983642311886587,0.9983324718590668,0.9997258145592467
002.wav,-0.0169,-0.0072,1.9112,4.443,0.7183099195512621,0.9809601708022804,0.4382798026169936,0.9623773173391493,0.9983400364855306,0.9995430242654113
003.wav,-0.0457,-0.0196,0.1778,3.3711,-0.5770702580542457,0.7022381370818567,-0.4707067405498468,0.8947655398037077,-0.6834337755586447,0.5097107343600056
004.wav,-0.4054,-0.1737,0.2376,3.3025,-0.7971701209393607,0.266443913005973,-0.9999999999836257,0.05452562704471106,-0.5943402418950957,0.4783621989672349
005.wav,-0.0166,-0.0071,1.3737,4.0818,0.7108252415958416,0.8987029812708223,0.4464991922116152,0.9629225736095965,0.975151290980068,0.8344833889320479
006.wav,-0.0225,-0.0096,-0.4895,3.2008,-0.35745540840395473,0.6905894668040019,0.2722890860661322,0.9492911668484187,-0.9871999028740417,0.4318877667595851
007.wav,-0.0118,-0.005,0.5614,3.5673,0.350471692164435,0.7868711643876268,0.567503129057266,0.9743729552889858,0.13344025527160408,0.5993693734862678
008.wav,-0.0481,-0.0206,1.124,3.8741,0.19149914204513774,0.8144412529786271,-0.5318592978389084,0.8893129770992366,0.9148575819291839,0.7395695288580176
009.wav,-0.0334,-0.0143,0.2986,3.4296,-0.2886018975019711,0.7300539684854185,-0.09171752760067499,0.9236641221374046,-0.4854862674032673,0.5364438148334324
010.wav,-0.0326,-0.014,-0.4397,3.4604,-0.5240992742895848,0.7379092792037518,-0.06463363202075399,0.9252998909487458,-0.9835649165584156,0.5505186674587579
011.wav,-0.0295,-0.0126,0.0403,3.4758,-0.39379179762332317,0.7452447862532131,0.04085547348118979,0.9329334787350054,-0.8284390687278361,0.5575560937714208
012.wav,-0.0309,-0.0133,0.3133,3.3861,-0.23169364868224512,0.7228410276103543,-0.006812932561768948,0.9291166848418756,-0.4565743648027213,0.5165653703788329
013.wav,-0.0306,-0.0131,-0.1516,3.3626,-0.4639585431647266,0.7180168189993866,0.0034065058104793835,0.9302071973827699,-0.9313235921399327,0.5058264406160033
014.wav,-0.0047,-0.002,1.4885,4.1007,0.8476389073290738,0.9169254368590847,0.7092608604869489,0.9907306434023991,0.9860169541711986,0.8431202303157701
015.wav,-0.013,-0.0056,0.2984,3.3859,0.02663775878701835,0.7437876964491092,0.5391481334118426,0.9711014176663032,-0.48587261583780594,0.5164739752319152
016.wav,-0.0756,-0.0324,0.6616,3.5563,-0.2705469482165743,0.7096576887961359,-0.9103436202654659,0.8249727371864776,0.36924972383231724,0.5943426404057943
017.wav,-0.023,-0.0099,0.2126,3.0798,-0.18861948278750842,0.6621245504557274,0.256447372025794,0.9476553980370774,-0.6336863376008108,0.37659370287437743
018.wav,-0.0031,-0.0013,0.4325,3.4714,0.2729986313629602,0.7750464189173801,0.7353137801959876,0.9945474372955289,-0.1893165174700672,0.5555454005392314
019.wav,-0.0194,-0.0083,0.3379,3.428,-0.019494751778805663,0.7460460760111609,0.3669869668473001,0.9563794983642312,-0.4059764704049114,0.5357126536580907
020.wav,-0.0341,-0.0146,0.2115,3.3338,-0.37532705483199846,0.707346946392959,-0.115306507134152,0.9220283533260633,-0.6353476025298449,0.49266553945985475
021.wav,-0.1099,-0.0471,0.4228,3.4806,-0.6019084584758244,0.6522848213640989,-0.9909709097281985,0.7448200654307524,-0.2128460072234503,0.5597495772974455
022.wav,-0.0715,-0.0306,0.2434,3.3379,-0.733957127545317,0.6646632450130965,-0.8831400281011522,0.8347873500545256,-0.5847742269894818,0.49453913997166743
