filename,speech_valence,speech_arousal,text_valence,text_arousal,fused_valence,fused_arousal,speech_valence_norm,speech_arousal_norm,text_valence_norm,text_arousal_norm
001.wav,-0.0015,-0.0006,1.9142,4.4453,0.8468863472959348,0.9991971095945404,0.69384502793199,0.9983942191890808,0.9999276666598796,1.0
002.wav,-0.032,-0.0137,0.7311,3.6483,0.4523707902805786,0.6655127542770141,0.10953013385923638,0.9458048976314734,0.7952114467019208,0.3852206109225549
003.wav,-0.1226,-0.0526,0.3788,3.1861,-0.5421297201195926,0.409168780519466,-0.9706907383469457,0.7896427137695704,-0.11356870189223944,0.028694847269361577
004.wav,-0.0357,-0.0153,0.3735,3.2789,-0.0558975345307326,0.5198297332290724,0.01954796631630264,0.939381774387796,-0.13134303537776784,0.10027769207034894
005.wav,-0.1253,-0.0537,0.4489,3.4743,-0.42514650169183377,0.518114796730123,-0.9742675881620928,0.7852268165395424,0.12397458477842527,0.2510027769207036
006.wav,-0.035,-0.015,-0.2326,3.166,-0.4694490760544414,0.47688824166877347,0.03664069606480462,0.9405861099959856,-0.9755388481736874,0.013190373341561338
007.wav,-0.028,-0.012,0.6906,3.6219,0.4717305195943056,0.6587429959207669,0.20478658966499377,0.9526294660778803,0.7386744495236175,0.3648565257636535
008.wav,-0.0502,-0.0215,0.5409,3.5423,0.04451906262104993,0.6089739476803318,-0.32282858219338284,0.9144921718185468,0.4118667074354827,0.3034557235421168
009.wav,-0.0479,-0.0205,0.2528,3.3495,-0.3834541176476009,0.536621408189507,-0.271603305499268,0.9185066238458451,-0.4953049297959338,0.1547361925331689
010.wav,-0.0202,-0.0086,-0.4824,3.1489,-0.30848135847228086,0.4831393014853473,0.37852818415397205,0.9662786029706946,-0.9954909010985338,0.0
011.wav,-0.0283,-0.0121,0.2934,3.3846,-0.09316122621782778,0.5670195951336567,0.19775219494892884,0.9522280208751506,-0.3840746473845844,0.18181116939216296
012.wav,-0.0364,-0.0156,0.4506,3.508,0.06605671672395301,0.6075876394761965,0.0024438022346017383,0.9381774387796066,0.12966963121330427,0.2769978401727864
013.wav,-0.0711,-0.0305,0.3464,3.4315,-0.45471327590588484,0.5481751893982796,-0.6887413458786157,0.8783621035728624,-0.22068520593315402,0.21798827522369674
014.wav,-0.0773,-0.0331,0.4375,3.4748,-0.33738563017549433,0.5596564943268152,-0.7603622733295624,0.8679245283018868,0.08559101297857376,0.25138846035174356
015.wav,-0.0686,-0.0294,0.4948,3.5203,-0.19076313456772634,0.584631826689628,-0.6552603687634396,0.8827780008028904,0.27373409962798695,0.28648565257636566
016.wav,-0.206,-0.0883,-0.0944,3.4381,-0.9689914402470936,0.434703036454222,-0.999495332747797,0.646326776395022,-0.9384875477463903,0.22307929651342193
017.wav,-0.09,-0.0386,0.1927,3.3226,-0.7486982952229144,0.4899157330474869,-0.8636254124785183,0.8458450421517463,-0.6337711779673104,0.13398642394322757
018.wav,-0.0199,-0.0085,0.2527,3.3163,-0.05538509930647817,0.5479034304427752,0.3847916388739348,0.9666800481734243,-0.49556183748689114,0.1291268127121261
019.wav,-0.0461,-0.0198,0.2138,3.3324,-0.4096052785406224,0.5314312797282806,-0.2303939698958026,0.9213167402649538,-0.5888165871854422,0.14154581919160755
020.wav,-0.0973,-0.0417,0.2307,3.3411,-0.7262533867437057,0.490828475879411,-0.9025554218348222,0.8334002408671217,-0.5499513516525891,0.14825671089170023
021.wav,-0.0535,-0.0229,0.8219,3.692,0.24554603510682396,0.6639006408878815,-0.3930880314167809,0.9088719389803291,0.8841801016304288,0.41892934279543387
022.wav,-0.0935,-0.0401,0.5965,3.6211,-0.16386313151055026,0.6020313981923944,-0.8838226150347787,0.8398233641107989,0.5560963520136781,0.36423943227398986
023.wav,-0.0365,-0.0157,0.3588,3.4371,-0.09008421670794851,0.5800419616141096,0.0,0.9377759935768768,-0.18016843341589703,0.22230792965134238
024.wav,-0.0844,-0.0362,0.1744,3.3278,-0.7470252036608365,0.4967386293216518,-0.8244591683825424,0.8554797270172622,-0.6695912389391304,0.13799753162604142
025.wav,-0.0474,-0.0203,0.2176,3.314,-0.42027411103750434,0.5233310915903239,-0.2602485298190777,0.9193095142513047,-0.5802996922559309,0.12735266892934302
026.wav,-0.1458,-0.0625,0.217,3.2994,-0.7860637956239338,0.4329951757211491,-0.9904745606839288,0.7498996386993175,-0.5816530305639387,0.11609071274298065
027.wav,-0.0342,-0.0147,-0.1041,3.1946,-0.4430787430389432,0.4885209556006066,0.056148445995322184,0.9417904456041751,-0.9423059320732086,0.03525146559703801
028.wav,-0.0664,-0.0284,0.5094,3.502,-0.15221359088013472,0.5795810459152486,-0.6234923902822614,0.8867924528301887,0.319065208521992,0.2723696390003086
029.wav,-0.0961,-0.0412,0.9698,3.8007,0.029554274766312172,0.6690921937921288,-0.8969724542958741,0.8354074668807708,0.9560810038284985,0.5027769207034868
030.wav,-0.1607,-0.0689,0.1465,3.2756,-0.8570559443629528,0.41096966357504733,-0.9953902294725109,0.7242071457246086,-0.7187216592533947,0.09773218142548601
031.wav,-0.068,-0.0292,0.2284,3.3419,-0.6011015397433239,0.5162273477948569,-0.646812694778267,0.88358089120835,-0.5553903847083809,0.14887380438136386
032.wav,-0.1081,-0.0463,0.2073,3.3006,-0.7722176953882007,0.46597505725951294,-0.9413488873095575,0.8149337615415495,-0.603086503466844,0.11701635297747641
