topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
additional manufacturing,1,1,1,1
clear aligner,0,1,1,1
continued investment,1,1,1,1
corporate structure,1,1,1,1
effective tax,1,1,1,1
excess tax,1,1,1,1
extra tax,1,1,1,1
foreign exchange,0,1,1,1
free cash,1,1,1,1
geographic expansion,1,1,1,1
good volume,1,1,1,1
gross margin,1,1,1,1
international doctors,0,1,1,1
international markets,0,1,1,1
latter stages,1,1,1,1
less capital,1,1,1,1
lower media,1,1,1,1
new orders,1,1,1,1
new products,0,1,1,1
new standard,1,1,1,1
new territories,1,1,1,1
ortho utilization,0,1,1,1
promotional activity,0,1,1,1
several months,1,1,1,1
strong demand,0,1,1,1
strong revenue,1,1,1,1
strong shipments,1,1,1,1
total doctors,0,1,1,1
total number,0,1,1,1
unfilled backlog,1,1,1,1
