topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
better workforce,1,1,1,1
constant dollar,1,1,1,1
current uncertainty,1,0,1,1
difficult grow,1,1,1,1
diluted earnings,1,1,1,1
economic activity,1,0,1,1
fantastic question,1,1,1,1
historical data,1,1,1,1
historical growth,1,1,1,1
historical track,1,0,1,1
inevitable pickup,1,0,1,1
innovative talent,1,1,1,1
lower inflation,1,1,1,1
major impact,1,1,1,1
moot point,1,1,1,1
much difficulty,1,1,1,1
new business,3,3,3,3
organic revenue,1,1,1,1
potential change,1,1,1,1
prior period,1,1,1,1
related hesitancy,1,0,1,1
right strategy,1,1,1,1
robust dataset,1,1,1,1
short term,1,0,1,1
slight slowing,1,1,1,1
slow decision,1,1,1,1
slower growth,1,1,1,1
small business,1,1,1,1
small businesses,1,1,1,1
steady company,1,1,1,1
strange way,1,1,1,1
strategic acquisition,1,1,1,1
strong position,1,1,1,1
tight labor,1,1,1,1
uncertain times,1,0,1,1
