topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),"Nervous (Negative, High arousal)",Neutral
Outlier,1,1,0,1
beneficial impact,1,1,1,1
bottom line,1,1,1,1
certain quarters,1,1,1,1
common stock,1,1,1,1
diluted share,1,1,1,1
discrete tax,1,1,1,1
equivalent shares,1,1,1,1
flexible model,1,1,1,1
foreign exchange,1,1,1,1
free option,1,1,1,1
gross bookings,1,1,1,1
gross profit,2,2,2,2
healthy mix,1,1,1,1
important tool,1,1,1,1
international operations,1,1,1,1
key drivers,1,1,1,1
macro trends,1,1,1,1
macroeconomic conditions,1,1,1,1
negative impact,1,1,1,1
net income,1,1,1,1
new properties,1,1,1,1
payment discount,1,1,1,1
recent bond,1,1,1,1
related occupancy,1,1,1,1
seasonal impact,1,1,1,1
several quarters,1,1,1,1
significant change,1,1,1,1
strong euro,1,1,1,1
strong growth,1,1,1,1
strong occupancy,1,1,1,1
subsequent quarters,1,1,1,1
top end,1,1,1,1
top line,1,1,1,1
