topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
average coupon,1,1,1,1
back half,1,1,1,1
biggest delta,1,1,1,1
detailed bridge,1,1,1,1
effective tax,1,1,1,1
excess cash,1,1,1,1
favorable revenue,1,1,1,1
good estimate,1,1,1,1
incremental margins,1,1,1,1
net dilution,1,1,1,1
net earnings,1,1,1,1
net impact,1,1,1,1
net investment,1,1,1,1
new sources,1,1,1,1
ongoing minority,1,1,1,1
organic base,1,1,1,1
organic growth,1,1,1,1
organic revenue,1,1,1,1
original expectations,1,1,1,1
outstanding debt,1,1,1,1
pro forma,1,1,1,1
significant improvement,1,1,1,1
small consulting,1,1,1,1
structural improvement,1,1,1,1
tender offering,1,1,1,1
total interest,1,1,1,1
upfront cash,1,1,1,1
