topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
adverse impact,0,1,1,0
big asset,1,1,1,1
big issue,1,1,1,1
complete mining,1,1,1,1
continual conversation,1,1,1,1
current proposition,1,1,1,1
direct discussions,1,1,1,1
fair basis,1,1,1,1
future development,1,1,1,1
global marketplace,1,1,1,1
good point,1,1,1,1
joint venture,0,1,1,0
local community,1,1,1,1
long term,1,1,1,1
major block,1,1,1,1
major step,1,1,1,1
massive block,1,1,1,1
mine rate,1,1,1,1
net interest,0,1,1,0
new copper,1,1,1,1
new mill,1,1,1,1
new projects,1,1,1,1
new regulations,1,1,1,1
open pit,1,1,1,1
operational issue,1,1,1,1
positive market,1,1,1,1
public decision,1,1,1,1
recent agreement,1,1,1,1
senior government,1,1,1,1
significant sulfide,1,1,1,1
skilled group,1,1,1,1
special license,1,1,1,1
tremendous resource,1,1,1,1
underground development,1,1,1,1
voluntary contributions,1,1,1,1
