topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,0
additional stores,1,1,1,0
annual sales,1,1,1,0
big business,1,1,1,0
big unlock,1,1,1,0
big way,1,1,1,0
big win,1,1,1,0
brand portfolio,1,1,1,1
direct distribution,1,1,1,1
important thing,1,1,1,0
key driver,1,1,1,0
lean cost,1,1,1,1
overall apparel,1,1,1,0
positive way,1,1,1,0
relevant categories,1,1,1,0
responsive capabilities,2,2,2,1
responsive platform,1,1,1,0
retail distribution,1,1,1,1
rewarding size,1,1,1,1
significant market,1,1,1,1
significant opportunity,1,1,1,1
strong bottoms,1,1,1,0
structural advantage,1,1,1,1
super bottoms,1,1,1,1
