topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
adjusted basis,1,1,1,1
adjusted revenue,2,2,2,2
adjusted tax,1,1,1,1
certain tax,1,1,1,1
combined basis,1,1,1,0
critical priorities,1,1,1,1
effective rate,1,1,1,1
fair value,1,1,1,1
financial performance,1,1,1,0
free cash,1,1,1,0
functional business,1,1,1,1
good progress,1,1,1,1
gross contribution,1,1,1,0
high end,1,1,1,1
key driver,1,1,1,0
lightest profit,1,1,1,0
longer term,1,1,1,1
net synergy,1,1,1,1
neutral basis,1,1,1,1
new business,2,2,2,2
new clients,1,1,1,1
previous guidance,1,1,1,1
prior quarters,1,1,1,1
quarterly performance,1,1,1,1
recurring charges,1,1,1,1
reportable segment,1,1,1,1
reportable segments,1,1,1,1
right way,1,1,1,1
sequential basis,1,1,1,1
significant acquisition,1,1,1,0
smaller community,1,1,1,0
strong contract,1,1,1,1
strong research,1,1,1,0
strongest cash,1,1,1,0
teen revenue,1,1,1,1
top end,1,1,1,1
total contract,1,1,1,1
vast market,1,1,1,1
