topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
adjusted results,1,1,1,1
annual basis,1,1,1,1
bottom line,1,1,1,1
current plan,1,1,1,1
flat relative,1,1,1,1
full revenue,1,1,1,1
global footprint,1,1,1,1
gross cost,1,1,1,1
gross margin,1,1,1,1
gross profit,1,1,1,1
incremental cash,1,1,1,1
largest business,1,1,1,1
largest vendors,1,1,1,1
mass retailer,1,1,1,1
modest contribution,1,1,1,1
net cost,1,1,1,1
net savings,1,1,1,1
next phase,1,1,1,1
organic growth,1,1,1,1
organic sales,1,1,1,1
overall results,1,1,1,1
prior acquisitions,1,1,1,1
receivable management,1,1,1,1
sequential improvement,1,1,1,1
strong competency,1,1,1,1
strong start,1,1,1,1
