topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
annual plan,0,1,1,0
best customers,1,1,1,1
best parameter,1,1,1,1
big changes,1,1,1,1
corporate cost,1,1,1,1
full percentage,1,1,1,1
good headway,1,1,1,1
gross margins,1,1,1,1
important thing,0,1,1,0
intense focus,1,1,1,1
legal settlement,1,1,1,1
material cost,1,1,1,1
new product,1,1,1,1
organic growth,1,1,1,1
organic rates,1,1,1,1
positive thing,1,1,1,1
quarterly basis,1,1,1,1
relative balance,1,1,1,1
small number,0,1,1,0
unallocated cost,1,1,1,1
various areas,0,1,1,0
