topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
complete response,0,1,1,1
current expectations,1,1,1,1
detailed review,1,1,1,1
financial performance,1,1,1,1
free survival,0,1,1,1
great fit,1,1,1,1
gross margin,1,1,1,1
improved progression,0,1,1,1
interesting combinations,1,1,1,1
international inventory,1,1,1,1
key events,1,1,1,1
new products,1,1,1,1
next steps,0,1,1,1
pharmaceutical business,1,1,1,1
primary endpoint,0,1,1,1
regulatory submissions,0,1,1,1
severe plaque,0,1,1,1
significant improvement,0,1,1,1
strategic objective,1,1,1,1
strategic objectives,1,1,1,1
superior efficacy,0,1,1,1
systemic therapy,0,1,1,1
top line,1,1,1,1
total operating,1,1,1,1
worldwide revenue,1,1,1,1
