topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,0,0,1,1
amplified marketing,1,1,1,1
average ticket,0,1,1,1
back half,1,1,1,1
better line,1,1,1,1
effective tax,0,1,1,1
incremental advertising,1,1,1,1
incremental expense,0,1,1,1
incremental investments,1,1,1,1
indirect spend,1,1,1,1
joint venture,0,1,1,1
less week,0,1,1,1
longer term,1,1,1,1
new stores,1,1,1,1
open market,0,1,1,1
successful holiday,1,1,1,1
supplemental reference,0,1,1,1
top line,1,1,1,1
total customer,0,1,1,1
total sales,0,1,1,1
total ticket,0,1,1,1
