topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),Neutral,Positive (Low/Mid arousal)
Outlier,1,1,1,1
annual basis,1,1,1,1
better pricing,1,1,1,0
difficult price,1,1,1,0
easier compares,1,0,1,0
economic conditions,1,1,1,1
economic weakness,1,1,1,1
financial results,1,1,1,0
full portfolio,1,1,1,0
good progress,1,1,1,0
gross margin,1,1,1,0
gross margins,1,1,1,0
healthy velocity,1,1,1,0
higher input,1,1,1,0
incremental capacity,1,1,1,0
key element,1,1,1,0
key enabler,1,1,1,0
multiple quarters,1,1,1,0
negative impact,1,1,1,1
net productivity,1,1,1,0
net revenue,1,1,1,1
new product,1,1,1,0
overall category,1,1,1,1
overhead costs,1,1,1,0
overhead management,1,1,1,0
real drivers,1,0,1,0
significant change,1,1,1,1
small decline,1,1,1,1
soft category,1,1,1,1
solid growth,1,1,1,0
solid operating,1,1,1,0
solid performance,1,1,1,0
solid results,1,1,1,1
solid share,1,1,1,0
solid trends,1,1,1,1
solid vol,1,1,1,0
strong results,1,1,1,1
stronger peak,1,1,1,0
unfavorable mix,1,1,1,0
unprecedented malware,1,1,1,1
white space,1,1,1,0
