topic_keywords,"Excited (Positive, High arousal)",Negative (Low/Med arousal),"Nervous (Negative, High arousal)",Neutral
Outlier,1,1,1,1
additional projects,1,1,1,1
ancillary businesses,1,1,1,1
compete agreement,1,1,0,1
directional drilling,1,1,1,1
downstream support,1,1,1,1
faster book,1,1,1,1
full expectations,1,1,1,1
full scale,1,1,1,1
good shape,1,1,1,1
important engineering,1,1,1,1
important part,1,1,0,1
large pipeline,1,1,1,1
larger diameter,1,1,1,1
larger pipeline,1,1,1,1
larger projects,1,1,1,1
larger transmission,1,1,1,1
little pressure,1,1,1,1
long term,1,1,1,1
medium transmission,1,1,1,1
numerous utilities,1,1,1,1
ongoing opportunities,1,1,1,1
operational excellence,1,1,0,1
overall structure,1,1,0,1
private infrastructure,1,1,0,1
private partnerships,1,1,0,1
right answer,1,1,1,1
robust environment,1,1,1,1
select projects,1,1,0,1
significant pipeline,1,1,1,1
strategic partnerships,1,1,0,1
strong execution,1,1,0,1
true partner,1,1,0,1
various levels,1,1,1,1
